text,author,reply,retweet,like,date,cleaned_text,label,non_baku
"Hormati Hasil Pemilu 2024, Jaga Persatuan Bangsa - Kabarklik
#BeritaTerkini #News #NewsUpdate #KabarKlik",kabarKlik.com,0,0,0,2024-03-06T01:41:22.000Z,"Hormati Hasil Pemilu 2024, Jaga Persatuan Bangsa - Kabarklik    ",positive,
Dugaan kecurangan Pemilu 2024 harus diselidiki secara menyeluruh.,KPU Purbalingga,0,0,0,2024-03-06T01:48:16.000Z,Dugaan kecurangan Pemilu 2024 harus diselidiki secara menyeluruh.,negative,
Penegakan hukum yang korup dan tidak independen memperparah masalah kecurangan dalam pemilu.,NETRALNEWS,0,0,0,2024-03-06T03:00:01.000Z,Penegakan hukum yang korup dan tidak independen memperparah masalah kecurangan dalam pemilu.,negative,
Pemilu yang tidak transparan merusak demokrasi.,Nawacita.co,0,0,0,2024-03-06T01:58:15.000Z,Pemilu yang tidak transparan merusak demokrasi.,negative,
dpr jdul bang...kami faham...yg hsil pemilu 2024 blom di lantik..pantes aje banyak...lgian banyak yg g kepilih lg mereka ..Kecoa tu,Vivo 1819,0,0,0,2024-03-06T01:13:57.000Z,kami paham yang hasil pemilu 2024 belum di lantik pantes aja banyak lagian banyak yang tidak kepilih lagi mereka Kecoa tu,negative,
Penegakan hukum yang efektif diperlukan untuk memberantas kecurangan dalam pemilu.,Claudia,0,0,1,2024-03-06T01:17:29.000Z,Penegakan hukum yang efektif diperlukan untuk memberantas kecurangan dalam pemilu.,negative,
Adanya kebohongan dan manipulasi dalam proses pemilu mengkhawatirkan.,Sat Binmas Polres Penajam Paser Utara,0,0,0,2024-03-06T02:38:12.000Z,Adanya kebohongan dan manipulasi dalam proses pemilu mengkhawatirkan.,negative,
Penegakan hukum yang lemah memungkinkan terjadinya kecurangan dalam pemilu tanpa konsekuensi yang memadai.,HUMAS POLRES KEP. TANIMBAR,0,0,1,2024-03-06T02:11:46.000Z,Penegakan hukum yang lemah memungkinkan terjadinya kecurangan dalam pemilu tanpa konsekuensi yang memadai.,negative,
Rakyat membutuhkan kepastian atas integritas pemilu.,POJOK INDONEWS,0,0,0,2024-03-06T01:00:13.000Z,Rakyat membutuhkan kepastian atas integritas pemilu.,negative,
"Mari senantiasa menjaga persatuan untuk kesuksesan Pemilu 2024.

#Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",Titah Pandita,0,0,0,2024-03-06T02:29:08.000Z,Mari senantiasa menjaga persatuan untuk kesuksesan Pemilu 2024.,positive,
"yg MASIH PADA BUTA.. mau bergelar profesor, akademisi, politisi, buzzerRp sampe buzzer kere!

Silahkan bilang bahwa tidak ada KECURANGAN TSM di pemilu 2024 ini..!

Mudah2an Allah benar2 MEMBUTAKAN MATA HATI kalian semua..!",boetix,0,0,0,2024-03-06T02:31:29.000Z,"yang MASIH PADA BUTA  mau bergelar profesor, akademisi, politisi, buzzer sampe buzzer kere! Silahkan bilang bahwa tidak ada KECURANGAN TSM di pemilu 2024 ini ! mudah-mudahan Allah benar-benar MEMBUTAKAN MATA HATI kalian semua !",negative,
Sudah bosan dengan drama politik yang terjadi di sekitar pemilu. Kapan kita akan memiliki pemimpin yang jujur dan kompeten? #27thValentineWithJaehyun #PDIP #hebatbet #cs1hebatbet #SMTOWN2024 #Tobeli #___,CS1Hebatbet,0,0,0,2024-03-06T00:58:52.000Z,Sudah bosan dengan drama politik yang terjadi di sekitar pemilu. Kapan kita akan memiliki pemimpin yang jujur dan kompeten?,negative,
Jangan biarkan penundaan pemilu 2024 mengganggu proses demokrasi dan stabilitas negara. #PemiluJujur,Titin,0,0,0,2024-03-06T03:23:58.000Z,Jangan biarkan penundaan pemilu 2024 mengganggu proses demokrasi dan stabilitas negara.,positive,
MasyaAllah ... Kejahatan Pemilu 2024 hrs di bongkar nih.,Mohammad Khafid Khafid,0,3,3,2024-03-06T03:09:20.000Z,MasyaAllah  Kejahatan Pemilu 2024 hrs di bongkar nih.,negative,
"Walau ngga bisa dipercaya, tetapi informasi suara hasil pemilu 2024 zong di web KPU http://pemilu2024.kpu.go.id ...",Pray4Gaza&FightZio,0,0,0,2024-03-06T01:03:06.000Z,"Walau ngga bisa dipercaya, tetapi informasi suara hasil pemilu 2024 zong di web KPU  .",negative,
Pemilu yang bersih adalah hak setiap warga negara yang harus dijamin oleh konstitusi.,inbrek.com,0,0,0,2024-03-06T03:17:06.000Z,Pemilu yang bersih adalah hak setiap warga negara yang harus dijamin oleh konstitusi.,negative,
"Selama masih mengulur2 waktu buat cabut dari kabinetnya Jokowi, ini jelas cuma gertakan dan lucu2an.
Hak angket ga bisa buat gugat pelaksanaan pemilu 2024 dan hasilnya, tp bisa buat melengserkan presiden. Jd sebaiknya keluar dulu dari kabinet. Baru ajukan hak angket, lbh fair.",Pajak Karbon 2025,0,0,0,2024-03-06T03:24:10.000Z,"Selama masih mengulur2 waktu buat cabut dari kabinetnya Jokowi, ini jelas cuma gertakan dan lucu2an. Hak angket ga bisa buat gugat pelaksanaan pemilu 2024 dan hasilnya, tp bisa buat melengserkan presiden. Jd sebaiknya keluar dulu dari kabinet. Baru ajukan hak angket, lbh fair.",negative,
"Pasca Pemilu 2024, suara kritis terhadap penyelenggara pemilu, proses yang diduga penuh dengan kecurangan dan 'cawe-cawe' presiden, serta rekapitulasi suara yang mencurigakan, masih marak mengisi ruang publik dan pemberitaan di Indonesia.",Suara Kebebasan,1,1,1,2024-03-06T02:48:37.000Z,"Pasca Pemilu 2024, suara kritis terhadap penyelenggara pemilu, proses yang diduga penuh dengan kecurangan dan 'cawe-cawe' presiden, serta rekapitulasi suara yang mencurigakan, masih marak mengisi ruang publik dan pemberitaan di Indonesia.",negative,
PKS Sebut Pilkada akan Lebih Kacau jika Dugaan Kecurangan Pemilu 2024 Dibiarkan http://dlvr.it/T3gQKy #News,LIPUTAN6,1,2,9,2024-03-06T02:47:06.000Z,PKS Sebut Pilkada akan Lebih Kacau jika Dugaan Kecurangan Pemilu 2024 Dibiarkan,negative,
"Kalian akan Rakus terhadap Jabatan, padahal jabatan itu akan menjadi Penyesalan di hari Kiamat, ia adalah seenak-enak penyusuan dan segetir-getir penyapihan' (Bukhori 6615)

Lbh menyesal lg bila jabatan didapatkan dgn cara yg tidak benar dan baik, berat Hisabnya.
Pemilu 2024 MKMK",RakyatKeciL,0,0,0,2024-03-06T02:47:44.000Z,"Kalian akan Rakus terhadap Jabatan, padahal jabatan itu akan menjadi Penyesalan di hari Kiamat, ia adalah seenak-enak penyusuan dan segetir-getir penyapihan' (Bukhori 6615) Lbh menyesal lg bila jabatan didapatkan dengan cara yang tidak benar dan baik, berat Hisabnya. Pemilu 2024 MKMK",negative,
Pemilu harus adil dan bebas dari intervensi.,ikarubiasy,0,0,0,2024-03-06T03:01:07.000Z,Pemilu harus adil dan bebas dari intervensi.,negative,
Pemilu yang dipenuhi dengan intimidasi dan kekerasan mengancam kebebasan berpendapat dan berkumpul.,Koramil_kotagede,0,0,0,2024-03-06T03:23:55.000Z,Pemilu yang dipenuhi dengan intimidasi dan kekerasan mengancam kebebasan berpendapat dan berkumpul.,negative,
Perusak demokrasi harus dihukum mati.,Polsek Air Besi,0,0,0,2024-03-06T01:52:46.000Z,Perusak demokrasi harus dihukum mati.,negative,
Kecurangan pemilu merusak kepercayaan publik terhadap sistem politik dan lembaga pemerintah.,The Iconomicsᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠᅠ,0,0,0,2024-03-06T03:16:34.000Z,Kecurangan pemilu merusak kepercayaan publik terhadap sistem politik dan lembaga pemerintah.,negative,
Kecurangan Pemilu 2024 mengancam kedaulatan rakyat.,Tribun Video,0,0,0,2024-03-06T01:14:14.000Z,Kecurangan Pemilu 2024 mengancam kedaulatan rakyat.,negative,
Pemilu yang tercurangi menimbulkan ketidakpercayaan yang mendalam terhadap sistem politik dan pemerintahan.,PPK SUSUKAN,0,0,0,2024-03-06T02:01:41.000Z,Pemilu yang tercurangi menimbulkan ketidakpercayaan yang mendalam terhadap sistem politik dan pemerintahan.,negative,
"Dugaan kecurangan yang terjadi di Pemilu 2024 merupakan masalah serius yang harus ditindaklanjuti. Tak cukup, pelanggaran pemilu hanya dibawa ke MK. Perlu tindakan politik untuk menyelidiki dugaan kecurangan itu. Salah satunya, lewat hak angket di DPR.

https://rm.id/baca-berita/pemilu/212688/andreas-hugo-pareira-di-podcast-ngegas-rm-pemilu-2024-banyak-kejanggalan",Rakyat Merdeka,0,0,0,2024-03-06T02:00:01.000Z,"Dugaan kecurangan yang terjadi di Pemilu 2024 merupakan masalah serius yang harus ditindaklanjuti. tidak cukup, pelanggaran pemilu hanya dibawa ke MK. Perlu tindakan politik untuk menyelidiki dugaan kecurangan itu. Salah satunya, lewat hak angket di DPR. ",negative,
Pemilu yang tercurangi harus dibatalkan.,Polsek Sungai Kakap,0,0,0,2024-03-06T03:10:05.000Z,Pemilu yang tercurangi harus dibatalkan.,negative,
"Ini sdh mulai seperti Yusril yg mensiasati hukum,mestinya si paman Usman itu dipecat jadi hakim MK shg mati langkah tuh Mukidi dlm pemilu 2024",Daeng,0,0,3,2024-03-06T02:31:57.000Z,"Ini sudah mulai seperti Yusril yang mensiasati hukum,mestinya si paman Usman itu dipecat jadi hakim MK sehingga mati langkah tuh Mukidi dalam pemilu 2024",negative,
Transparansi dan akuntabilitas adalah kunci untuk mencegah dan mengungkap kecurangan dalam pemilu.,POLSEK RANCAEKEK POLRESTA BANDUNG,0,0,1,2024-03-06T03:17:44.000Z,Transparansi dan akuntabilitas adalah kunci untuk mencegah dan mengungkap kecurangan dalam pemilu.,negative,
Sudah saatnya untuk menuntut akuntabilitas dalam pemilu.,PPK Banyuurip,0,0,1,2024-03-06T01:16:46.000Z,Sudah saatnya untuk menuntut akuntabilitas dalam pemilu.,negative,
Pemilu yang tercurangi memicu ketegangan politik dan memperkuat ketidakstabilan institusional.,Hmspoldapapua,0,0,0,2024-03-06T02:46:13.000Z,Pemilu yang tercurangi memicu ketegangan politik dan memperkuat ketidakstabilan institusional.,negative,
Tidak ada alasan untuk menunda pemilu 2024. Mari jaga proses demokrasi yang sehat dan stabil.,jeson rockwell,0,0,0,2024-03-06T03:17:14.000Z,Tidak ada alasan untuk menunda pemilu 2024. Mari jaga proses demokrasi yang sehat dan stabil.,positive,
"Pemilu harus menjadi panggung kejujuran, bukan manipulasi.",Polsek Air Besi,0,0,0,2024-03-06T02:21:31.000Z,"Pemilu harus menjadi panggung kejujuran, bukan manipulasi.",negative,
Pemilu yang tercurangi harus direvisi untuk memastikan representasi yang adil bagi semua warga negara.,inilahcom,1,0,0,2024-03-06T02:13:38.000Z,Pemilu yang tercurangi harus direvisi untuk memastikan representasi yang adil bagi semua warga negara.,negative,
"Mari senantiasa jaga kerukunan kita menjelang akhir pemilu demi bangsa yang bermartabat.

#Pemilu2024BebasHoaks
#Pemilu2024
#PemiluDamai2024
#Pemilu2024MenujuIndonesiaMaju
#PemiluDamaiNegeriMaju",Titah Pandita,0,0,0,2024-03-06T02:15:11.000Z,Mari senantiasa jaga kerukunan kita menjelang akhir pemilu demi bangsa yang bermartabat.,positive,
"Kecurangan pemilu 2024 di berbagai daerah menggembosi suara paslon 01 dan memainkan suara partai pendukung perubahan AMIN
#DukungHakAngketDPR 

SEGERA MAKZULKAN JOKOWI DALAM TEMPO YANG SESINGKAT SINGKATNYA

HUKUM MATI JOKOWI,KETUA KPU,KETUA BAWASLU&PENYELENGGARA PEMILU CURANG",Akunketigabelas Bjodoh,0,1,3,2024-03-06T02:22:11.000Z,"Kecurangan pemilu 2024 di berbagai daerah menggembosi suara paslon 01 dan memainkan suara partai pendukung perubahan AMIN   SEGERA MAKZULKAN JOKOWI DALAM TEMPO YANG SESINGKAT SINGKATNYA HUKUM MATI JOKOWI,KETUA KPU,KETUA BAWASLU&PENYELENGGARA PEMILU CURANG",negative,
Transparansi Pemilu 2024 gagal total.....saatnya para caleg saling sodok dalam gelap......semakin gelap semakin yahud bagi tangan2 kotor,Diro Noto,0,0,0,2024-03-06T01:40:24.000Z,Transparansi Pemilu 2024 gagal total saatnya para caleg saling sodok dalam gelap .semakin gelap semakin yahud bagi tangan2 kotor,negative,
Indonesia membutuhkan sistem pemilu yang lebih baik.,Polsek Pancoran,0,0,0,2024-03-06T02:45:02.000Z,Indonesia membutuhkan sistem pemilu yang lebih baik.,negative,
Kecurangan pemilu memperkuat oligarki politik dan merugikan kepentingan masyarakat luas.,Enriko Praya,0,0,0,2024-03-06T03:00:50.000Z,Kecurangan pemilu memperkuat oligarki politik dan merugikan kepentingan masyarakat luas.,negative,
Pemilu 2024 bukti nyata kemunduran demokrasi,kangbph,0,0,0,2024-03-06T00:59:08.000Z,Pemilu 2024 bukti nyata kemunduran demokrasi,negative,
"Pakar Komunikasi Politik, Effendi Gazali menyinggung intimidasi dalam penyelenggaraan Pemilu 2024. Ia mengibaratkan pemilu Indonesia ertentangan dengan kode etik 'FIFA' no 24 dan no 26 tentang Intimidasi dan Eksploitasi.

#EffendiGazali #kodeetik #FIFA #pemilu2024",iNews,0,1,0,2024-03-06T01:38:12.000Z,"Pakar Komunikasi Politik, Effendi Gazali menyinggung intimidasi dalam penyelenggaraan Pemilu 2024. Ia mengibaratkan pemilu Indonesia pertentangan dengan kode etik 'FIFA' no 24 dan no 26 tentang Intimidasi dan Eksploitasi.     ",negative,
Kecurangan dalam pemilu menghancurkan kepercayaan publik.,Mahlina,0,0,0,2024-03-06T03:16:04.000Z,Kecurangan dalam pemilu menghancurkan kepercayaan publik.,negative,
Patroli dialogis yang humanis unit Binmas Polsek Pancoran Aiptu Nur Cholis tingkatkan Silaturrahmi sampaikan Pesan Kamtibmas dan Call Center 110 kepada Security  untuk menciptakan situasi yg aman dan kondusif usai Pemilu 2024.,Polsek Pancoran,0,0,0,2024-03-06T02:49:16.000Z,Patroli dialogis yang humanis unit Binmas Polsek Pancoran Aiptu Nur Cholis tingkatkan Silaturrahmi sampaikan Pesan Kamtibmas dan Call Center 110 kepada Security untuk menciptakan situasi yang aman dan kondusif usai Pemilu 2024.,positive,
"Peningkatan partisipasi pemilih juga dibarengi dengan berjalannya pelaksanaan Pemilu 2024 di Kabupaten Serang yang lancar, aman, dan damai.",mraldy,1,0,0,2024-03-06T02:32:28.000Z,"Peningkatan partisipasi pemilih juga dibarengi dengan berjalannya pelaksanaan Pemilu 2024 di Kabupaten Serang yang lancar, aman, dan damai.",positive,
Kecurangan dalam pemilu menghancurkan legitimasi pemerintah dan melemahkan fondasi demokrasi.,PKS Sukakarya,0,0,0,2024-03-06T03:08:10.000Z,Kecurangan dalam pemilu menghancurkan legitimasi pemerintah dan melemahkan fondasi demokrasi.,negative,
"Melelahkan : sudah tua ikut 5 x pilpres
Kacau : protes hasil pemilu 2019 sampai dengan korban jiwa. Pemilu 2024 juga rusak sejak pangeran masuk lewat jalur MK
Sangat Mahal : bisnis macet karena tidak berkuasa, gadai tanah sana sini untuk biaya kampanye. 

#tiktok",New Sandy SJ,0,0,1,2024-03-06T03:23:09.000Z,"Melelahkan : sudah tua ikut 5 x pilpres Kacau : protes hasil pemilu 2019 sampai dengan korban jiwa. Pemilu 2024 juga rusak sejak pangeran masuk lewat jalur MK Sangat Mahal : bisnis macet karena tidak berkuasa, gadai tanah sana sini untuk biaya kampanye.  ",negative,
"Yg anda jelaskan itu mrpk bagian dari keseluruhan kecurangan pemilu 2024 ini. Kecurangan2 lain msh ada, & anda jgn menutup mata, hanya karena partai anda sdh dpt jatah menteri.",JarnoTruly,0,0,0,2024-03-06T01:58:54.000Z,"yang anda jelaskan itu mrpk bagian dari keseluruhan kecurangan pemilu 2024 ini. Kecurangan2 lain msh ada, & anda jgn menutup mata, hanya karena partai anda sudah dpt jatah menteri.",negative,
"Hoaks merupakan salah satu ancaman yang dapat mengganggu jalannya masa rekapitulasi suara dalam Pemilu 2024.

#Pemilu2024
#PemiluDamai2024
#PemiluDamaiNegeriMaju
#Pemilu2024BebasHoaks
#Pemilu2024MenujuIndonesiaMaju",Titah Pandita,0,0,0,2024-03-06T02:31:34.000Z,Hoaks merupakan salah satu ancaman yang dapat mengganggu jalannya masa rekapitulasi suara dalam Pemilu 2024.,negative,
Hak angket adalah langkah penting dalam memerangi kecurangan.,Qiunco2761Reaborn,0,1,2,2024-03-06T02:28:46.000Z,Hak angket adalah langkah penting dalam memerangi kecurangan.,negative,
"Jangan Saling Mencaci Dan Membuat Sesuatu Yang Dapat Memecah Belah Bangsa Termasuk Di Dunia Maya Ya Sobat Polri!

#PolriHumanis #PolriPresisi #omb2024 #mantapbrata2024 #pemilu2024 #pemiludamai2024
#Polda NTT#Polres Ngada @listyosigitprabowo

@spripim
.polri@divisihumaspolri",Kasi Humas Polres Ngada,0,0,1,2024-03-06T02:00:47.000Z,Jangan Saling Mencaci Dan Membuat Sesuatu Yang Dapat Memecah Belah Bangsa Termasuk Di Dunia Maya Ya Sobat Polri!        NTT Ngada   .polri,negative,
Mengapa Luluk Nur Hamidah (PKB) menyatakan kalau Pemilu 2024 Brutal,Ridwan Roy T,0,0,0,2024-03-06T01:14:41.000Z,Mengapa Luluk Nur Hamidah (PKB) menyatakan kalau Pemilu 2024 Brutal,negative,
Pemilu yang tercurangi menimbulkan ketidakpuasan rakyat dan memicu protes massal.,kontenislamcom,0,0,0,2024-03-06T01:39:20.000Z,Pemilu yang tercurangi menimbulkan ketidakpuasan rakyat dan memicu protes massal.,negative,
Penegakan hukum harus dilakukan terhadap pelanggar pemilu.,Katadata.co.id,1,0,0,2024-03-06T02:13:28.000Z,Penegakan hukum harus dilakukan terhadap pelanggar pemilu.,negative,
Penegakan hukum yang kuat adalah prasyarat bagi keberhasilan pemilu yang bersih dan adil.,KIP Kabupaten Aceh Singkil,0,0,1,2024-03-06T02:23:59.000Z,Penegakan hukum yang kuat adalah prasyarat bagi keberhasilan pemilu yang bersih dan adil.,negative,
"Saat itu pemilu transparan,adil dan jujur. Ga ada cawe2 tuh. Pemilu 2024 tidak sama.",Brilian Ali,0,0,0,2024-03-06T03:02:12.000Z,"Saat itu pemilu transparan,adil dan jujur. Ga ada cawe tuh. Pemilu 2024 tidak sama.",negative,
"Bukan aku yg ngerasain imbasnya, tpi sekitarku. Ini sblm ada pemilu 2024, jadi ngga heran sama pilihan mereka pas pemilu ini",Fifi,0,0,0,2024-03-06T02:29:00.000Z,"Bukan aku yang ngerasain imbasnya, tpi sekitarku. Ini sblm ada pemilu 2024, jadi ngga heran sama pilihan mereka pas pemilu ini",positive,
"Jadi Pemilu 2024 itu dinilai Prof Jimly (Yang bisa dipercaya) ini adalah Pemilu paling Jurdil dan transfaran, begitu?",Hendi Permana,0,0,0,2024-03-06T03:08:08.000Z,"Jadi Pemilu 2024 itu dinilai Prof Jimly (Yang bisa dipercaya) ini adalah Pemilu paling Jurdil dan transfaran, begitu?",positive,
"Pemilu harus menjadi ajang perubahan positif, bukan kekacauan.",Humas Polres Sibolga,0,0,0,2024-03-06T03:07:36.000Z,"Pemilu harus menjadi ajang perubahan positif, bukan kekacauan.",negative,
Lebih percaya pemilu 2024 jurdil gw sih,Beda.Genre,0,0,0,2024-03-06T03:10:31.000Z,Lebih percaya pemilu 2024 jurdil gw sih,positive,
Transparansi yang kurang dalam pemilu memudahkan terjadinya manipulasi dan kecurangan.,JATAYUBACK,1,3,3,2024-03-06T03:19:10.000Z,Transparansi yang kurang dalam pemilu memudahkan terjadinya manipulasi dan kecurangan.,negative,
"Keberhasilan partai politik dalam pemilu bergantung pada kepiawaian Ketua menerapkan strategi. Kesuksesan tersebut tampak pada diraihnya Kursi Partai Golkar di Jawa Timur mulai level DPRD kabupaten/kota, DPRD provinsi, dan DPR RI di Pemilu 2024 ini.

Anies",surabayapagi.id,0,0,0,2024-03-06T03:01:20.000Z,"Keberhasilan partai politik dalam pemilu bergantung pada kepiawaian Ketua menerapkan strategi. Kesuksesan tersebut tampak pada diraihnya Kursi Partai Golkar di Jawa Timur mulai level DPRD kabupaten/kota, DPRD provinsi, dan DPR RI di Pemilu 2024 ini. Anies",positive,
Pemilu 2024 adalah yg terburuk,Suporter Demokrasi,0,0,0,2024-03-06T01:23:18.000Z,Pemilu 2024 adalah yang terburuk,negative,
Kredibilitas pemilu sangat penting bagi masa depan negara.,iNews,0,0,0,2024-03-06T01:52:26.000Z,Kredibilitas pemilu sangat penting bagi masa depan negara.,negative,
Pemilu yang adil adalah jaminan bagi partisipasi politik yang setara bagi semua lapisan masyarakat.,iNews,0,0,0,2024-03-06T01:53:34.000Z,Pemilu yang adil adalah jaminan bagi partisipasi politik yang setara bagi semua lapisan masyarakat.,negative,
Rakyat tidak boleh dikhianati oleh pemimpin yang curang.,iNews,0,0,1,2024-03-06T02:32:16.000Z,Rakyat tidak boleh dikhianati oleh pemimpin yang curang.,negative,
Kecurangan dalam pemilu menciptakan ketidakpercayaan yang dalam terhadap proses politik dan pemerintahan.,Polsek Pancoran,0,0,0,2024-03-06T02:46:17.000Z,Kecurangan dalam pemilu menciptakan ketidakpercayaan yang dalam terhadap proses politik dan pemerintahan.,negative,
Pemilu yang dipenuhi kecurangan adalah ancaman bagi demokrasi.,surabayapagi.id,0,0,0,2024-03-06T02:45:32.000Z,Pemilu yang dipenuhi kecurangan adalah ancaman bagi demokrasi.,negative,
Kecurangan pemilu merusak prinsip-prinsip demokrasi dan mengancam stabilitas politik sebuah negara.,Sektor Pringgasela,0,0,0,2024-03-06T03:23:24.000Z,Kecurangan pemilu merusak prinsip-prinsip demokrasi dan mengancam stabilitas politik sebuah negara.,negative,
"Provinsi lain berharap kemajuannya seperti Jkt, apa diperhatiin sm pemimpinnya. Dikasihlah kesempatan lewat pemilu 2024, eh malah yg di Jkt nya sendiri malah minta kemunduran. Ya udahlah.",A. Arif,0,0,2,2024-03-06T03:00:13.000Z,"Provinsi lain berharap kemajuannya seperti Jkt, apa diperhatiin sm pemimpinnya. Dikasihlah kesempatan lewat pemilu 2024, eh malah yang di Jkt nya sendiri malah minta kemunduran. Ya udahlah.",negative,
Tetap Terus Jaga Kerukunan Dan Persaudaraan Pasca Pemilu 2024,Qory Amalia,0,0,1,2024-03-06T03:19:52.000Z,Tetap Terus Jaga Kerukunan Dan Persaudaraan Pasca Pemilu 2024,positive,
"Sudah saatnya untuk memberikan suara kepada rakyat, bukan kepentingan politik.",Humas Polresta Denpasar,0,0,0,2024-03-06T03:01:03.000Z,"Sudah saatnya untuk memberikan suara kepada rakyat, bukan kepentingan politik.",negative,
Penegakan hukum yang tidak adil cenderung melindungi pelaku kecurangan dalam pemilu.,LIPUTAN6,0,0,0,2024-03-06T03:21:07.000Z,Penegakan hukum yang tidak adil cenderung melindungi pelaku kecurangan dalam pemilu.,negative,
Pemilu yang adil adalah hak setiap warga negara.,Polres Brebes,0,0,0,2024-03-06T03:10:36.000Z,Pemilu yang adil adalah hak setiap warga negara.,negative,
Pemilu yang bersih adalah hasil dari partisipasi aktif dan pemantauan yang ketat dari masyarakat sipil.,surabayapagi.id,0,0,0,2024-03-06T02:58:56.000Z,Pemilu yang bersih adalah hasil dari partisipasi aktif dan pemantauan yang ketat dari masyarakat sipil.,negative,
Keadilan harus menjadi pijakan utama dalam pemilu.,Tribunnews.com,0,0,0,2024-03-06T03:17:00.000Z,Keadilan harus menjadi pijakan utama dalam pemilu.,negative,
"Gerakan rakyat Papua Barat Daya tolak hak angket dan serukan dukung pemilu 2024

Shani Fitra Eri Ganjar Ini X Karina Nabrak Jam 4 Anies TikTok Taliban Indonesia     rakyattolak hakangket Meta KJMU",Efrita Anggraini,0,1,1,2024-03-06T03:21:16.000Z,Gerakan rakyat Papua Barat Daya tolak hak angket dan serukan dukung pemilu 2024 Shani Fitra Eri Ganjar Ini X Karina Nabrak Jam 4 Anies TikTok Taliban Indonesia   rakyattolak hakangket Meta KJMU,negative,
"Jawab Kecurigaan Publik Soal Kecurangan Pemilu 2024, Legislator PKS Dorong Hak Angket http://dlvr.it/T3gSzR",PKS Muktiwari,0,0,0,2024-03-06T03:21:39.000Z,"Jawab Kecurigaan Publik Soal Kecurangan Pemilu 2024, Legislator PKS Dorong Hak Angket ",positive,
Kecurangan dalam pemilu menciptakan ketidakpercayaan yang luas terhadap lembaga-lembaga pemerintah.,Titah Pandita,0,0,0,2024-03-06T02:30:34.000Z,Kecurangan dalam pemilu menciptakan ketidakpercayaan yang luas terhadap lembaga-lembaga pemerintah.,negative,
Mengungkap kecurangan pemilu adalah kewajiban moral.,PEMILU DAMAI KITA,0,0,0,2024-03-06T02:01:29.000Z,Mengungkap kecurangan pemilu adalah kewajiban moral.,negative,
Kecurangan dalam pemilu menghancurkan harapan akan perubahan positif dan kemajuan sosial.,Kompas.com,0,0,5,2024-03-06T01:58:33.000Z,Kecurangan dalam pemilu menghancurkan harapan akan perubahan positif dan kemajuan sosial.,negative,
