text,author,reply,retweet,like,date,cleaned_text,non_baku,label,text_length
Apa kata mereka?? Tentang pengamanan Pemilu 2024 di kelurahan Poris Plawad Kec. Cipondoh Kota Tangerang,Polsek Cipondoh,0,0,1,2024-02-16T01:19:21.000Z,Apa kata mereka?? Tentang pengamanan Pemilu 2024 di kelurahan Poris Plawad Kec. Cipondoh Kota Tangerang,,neutral,15
"Di Kota Kediri, persaingan ketiganya sangat ketat. #JatimNow #KondangKusumaningAyu #LaNyallaMattalitti #DPDJatim #Pemilu2024 #Kediri",Jatimnow.com,0,0,0,2024-02-16T01:18:32.000Z,"Di Kota Kediri, persaingan ketiganya sangat ketat.",,neutral,7
"Make Indonesia ""UHUY"" again.

#Pemilu2024 #Komeng #Prabowo",Puguh Nugroho,0,0,0,2024-02-16T01:21:29.000Z,"Make Indonesia ""UHUY"" again.",,positive,4
"Quick Count LSN: Prabowo-Gibran Hampir Pasti Menang Satu Putaran

hTetaps://jabarekspres.com/berita/2024/02/15/quick-count-lsn-prabowo-gibran-hampir-pasti-menang-satu-putaran/

#radarjabar #QuickCount #RealCount #Pemilu2024 #Bawaslu #LembagaSurvei #PrabowoGibran #RIPDemokrasi",Radar Jabar ID,0,0,0,2024-02-16T02:06:45.000Z,Quick Count LSN: Prabowo-Gibran Hampir Pasti Menang Satu Putaran,,neutral,9
"Byk skali ini bentuk-bentuk ke anehan di pemilu 2024
Tes Tes Tes 
@KPU_ID
 

@bawaslu_RI",🄱🄾🄽🄴🄺🄰 jahat,0,1,0,2024-02-16T01:15:25.000Z,Byk skali ini bentuk-bentuk ke anehan di pemilu 2024,,negative,12
"Liat para keluarga korban peristiwa '98 mulai bicara di tiktok, takut gimana Indonesia kedepannya #Pemilu2024",𒄬nin,0,0,0,2024-02-16T02:29:59.000Z,"Liat para keluarga korban peristiwa '98 mulai bicara di tiktok, takut gimana Indonesia kedepannya",,negative,14
"Kami selalu dan tetap bangga bersama AMIN

@aniesbaswedan


@cakimiNOW


#Pemilu2024",bankfao_sopirscooter,0,0,0,2024-02-16T01:31:16.000Z,Kami selalu dan tetap bangga bersama AMIN,,positive,7
Data Real Count sementara se-kecamatan   Paslon 02 #PrabowoGibran masih di posisi puncak kelasemen nih bolo  #PresidenPilihanRakyat #Pantura #Pilpres2024 #PemiluDamai2024 #Pemilu2024,Ihwan.,0,0,0,2024-02-16T02:24:08.000Z,Data Real Count sementara se-kecamatan   Paslon 02   masih di posisi puncak kelasemen nih bolo,,neutral,14
"Menggali Lebih Dalam tentang Silent Majority, Istilah yang Viral Usai Pemilu 2024",Jambi Independent Online,0,0,0,2024-02-16T01:39:17.000Z,"Menggali Lebih Dalam tentang Silent Majority, Istilah yang Viral Usai Pemilu 2024",,neutral,12
"Terjadi Pelanggaran Saat Coblos, 2 TPS di Manggarai Barat Berpotensi PSU

#Bawaslu
#Pemilu2024",Tajukflorescom,0,0,0,2024-02-16T01:38:24.000Z,"Terjadi Pelanggaran Saat Coblos, 2 TPS di Manggarai Barat Berpotensi PSU",,neutral,11
"Apakah jin, mbak kunti, dan lelembut lainnya juga bisa berpartisipasi menyemarakan #Pemilu2024 ? Yang jelas ini perlu dilakukan audit IT.",Sofa Nur Ihtiari Wahyudi,0,0,1,2024-02-16T01:31:47.000Z,"Apakah jin, mbak kunti, dan lelembut lainnya juga bisa berpartisipasi menyemarakan   ? Yang jelas ini perlu dilakukan audit IT.",,neutral,19
"Organisasi sukaelawan Projo Ganjar menilai kontestasi Pemilu 2024 khususnya Pilpres diwarnai dengan dugaan pelanggaran.
#ganjarpranowo #pendukungganjar #pemilihanulang #pilpres2024 #pemilu2024 #haposansitumorang",Baca Pesan Online,0,0,0,2024-02-16T01:37:30.000Z,Organisasi sukaelawan Projo Ganjar menilai kontestasi Pemilu 2024 khususnya Pilpres diwarnai dengan dugaan pelanggaran.,,neutral,14
Belom pada capek juga nih saling menghujatnya ?  #Pemilu2024,risma putri,1,0,1,2024-02-16T01:24:40.000Z,Belom pada capek juga nih saling menghujatnya ?,,negative,8
Timses dan relawan mohon perhatiannya. #JatimNow #PBNU #Pemilu2024 #Pilpres2024,Jatimnow.com,0,0,0,2024-02-16T01:38:53.000Z,Timses dan relawan mohon perhatiannya.,,neutral,5
"Viral Kecurangan Sirekap Pemilu 2024, Begini Penjelasannya",PARTAI MINANG,0,0,0,2024-02-16T02:26:09.000Z,"Viral Kecurangan Sirekap Pemilu 2024, Begini Penjelasannya",,neutral,7
"Delapan Parpol Unggul di Pemilu 2024 hTetaps://pwmu.co/340417/02/16/delapan-parpol-unggul-di-pemilu-2024/

#PemiluSerentak2024 #Pilpres2024",PWMU.CO,0,0,1,2024-02-16T01:07:14.000Z,Delapan Parpol Unggul di Pemilu 2024,,neutral,6
"Serba-serbi di Pemilu 2024 
Tetap Semangat ",VIRAL SEJAGAT,0,0,0,2024-02-16T01:17:17.000Z,Serba-serbi di Pemilu 2024  Tetap Semangat,,neutral,6
"Pak Mendagri 
@titokarnavian_
 apa kabarnya?
#Pemilu2024",Mud Hustler,0,0,0,2024-02-16T02:13:40.000Z,Pak Mendagri apa kabarnya?,,neutral,4
"Kairo , Mesir.
Semua suara CAPRES ""SALAH KETIK""

Ayo Perbaiki 
@KPU_ID
 
@bawaslu_RI
 !!!

#Pemilu2024",J͓̊o͓̊k͓̊e͓̊r͓̊ Ů͓l͓̊o͓̊s͓̊o͓̊ẘ͓o͓̊,0,1,1,2024-02-16T01:54:31.000Z,"Kairo , Mesir. Semua suara CAPRES ""SALAH KETIK""  Ayo Perbaiki         !!!",,negative,11
"Sebuah sudut pandang, dapat di IG #Pemilu2024",Bakulan,0,0,1,2024-02-16T02:14:15.000Z,"Sebuah sudut pandang, dapat di IG",,neutral,6
"Uhuy', Respons Riuh Warga di TPS saat Perhitungan Suara Komeng

#suaradotcom #Komeng #KomengNyaleg  #Pemilu2024",suaradotcom,0,0,0,2024-02-16T02:15:54.000Z,"Uhuy', Respons Riuh Warga di TPS saat Perhitungan Suara Komeng",,neutral,10
Babinsa Koramil 02/Tegalrejo Ikut Kawal Distribusi Logistik Pemilu 2024,koramil 11 kraton,0,0,0,2024-02-16T02:03:13.000Z,Babinsa Koramil 02/Tegalrejo Ikut Kawal Distribusi Logistik Pemilu 2024,,neutral,9
"Pemilu 2024, Pemilu paling curang",Siti Raihanun,0,0,0,2024-02-16T01:58:59.000Z,"Pemilu 2024, Pemilu paling curang",,negative,5
"#Pemilu2024 pemilu terburuk dan terbiadab diera jokodok, semua sudah diseting, pembusukan dan kecurangan masif dimana""",B SAN,0,1,1,2024-02-16T01:12:51.000Z,"pemilu terburuk dan terbiadab diera jokodok, semua sudah diseting, pembusukan dan kecurangan masif dimana""",,negative,14
"Dugaan Pemilu Curang, Presiden Jokowi: Jangan Cuma Teriak, Bawa Bukti ke Bawaslu dan MK  hTetaps://merdekanews.co/read/27135/Dugaan-Pemilu-Curang-Presiden-Jokowi-Jangan-Cuma-Teriak-Bawa-Bukti-ke-Bawaslu-dan-MK #Pemilu2024 #Bawaslu #PemiluCurang #Jokowi #Gibran #MK #KPU #RIPDemokrasi",merdekanews.co,0,0,0,2024-02-16T01:13:21.000Z,"Dugaan Pemilu Curang, Presiden Jokowi: Jangan Cuma Teriak, Bawa Bukti ke Bawaslu dan MK",,negative,14
"Sebagai saksi PKS di pemilu 2024, saya melihat betapa komitmen partai dalam membangun negara dengan segenap potensinya. TerimaKasih #sudahpilihPKS",Bone Bone,0,0,0,2024-02-16T01:27:46.000Z,"Sebagai saksi PKS di pemilu 2024, saya melihat betapa komitmen partai dalam membangun negara dengan segenap potensinya. TerimaKasih",,positive,18
TNI-Polri Siagakan Pelayanan Kesehatan Bagi Petugas Pengamanan Pemilu 2024,Polsek Selatan,0,0,0,2024-02-16T01:29:02.000Z,TNI-Polri Siagakan Pelayanan Kesehatan Bagi Petugas Pengamanan Pemilu 2024,,neutral,9
Anies Baswedan menyebut Pemilu 2024 ada kecurangan dan kekurangan,iNews,0,0,0,2024-02-16T01:17:58.000Z,Anies Baswedan menyebut Pemilu 2024 ada kecurangan dan kekurangan,,neutral,9
"""Insya Allah, pada akhirnya kita yang akan jadi pemenang Pemilu 2024""
Ujar Cak Imin

Sehaaat Cak?",David Fong,0,0,1,2024-02-16T01:21:59.000Z,"""Insya Allah, pada akhirnya kita yang akan jadi pemenang Pemilu 2024"" Ujar Cak Imin  Sehaaat Cak?",,positive,16
semoga jajaran polri selalu diberikan kesehatan dalam menjaga dan mengawal pemilu 2024,sedangmonitor,0,0,0,2024-02-16T01:59:42.000Z,semoga jajaran polri selalu diberikan kesehatan dalam menjaga dan mengawal pemilu 2024,,positive,12
Pemilu 2024 Di Bumi Cendrawasih Berjalan Dengan Aman dan Lancar,Sebastian Lodu,0,0,0,2024-02-16T02:26:56.000Z,Pemilu 2024 Di Bumi Cendrawasih Berjalan Dengan Aman dan Lancar,,positive,10
Menata Mental Menanti Hasil Pemilu 2024,Kompasiana,0,0,0,2024-02-16T02:09:34.000Z,Menata Mental Menanti Hasil Pemilu 2024,,neutral,6
Apa kata mereka?? Tentang pengamanan Pemilu 2024 di kelurahan Gondrong Kec Cipondoh Kota Tangerang,Polsek Cipondoh,0,0,1,2024-02-16T01:44:35.000Z,Apa kata mereka?? Tentang pengamanan Pemilu 2024 di kelurahan Gondrong Kec Cipondoh Kota Tangerang,,neutral,14
Tim Hukum AMIN & Kubu 03 Intensifkan Komunikasi Tindaklanjuti Kecurangan Pemilu 2024,Merdeka.com,0,0,0,2024-02-16T01:31:35.000Z,Tim Hukum AMIN & Kubu 03 Intensifkan Komunikasi Tindaklanjuti Kecurangan Pemilu 2024,,neutral,12
Kapolsek Balocci Gelar Jum'at Curhat Bersama Warga Pasca Pemilu 2024 untuk Jaga Kondusifitas Kamtibmas,POLSEK BALOCCI,0,0,0,2024-02-16T01:42:00.000Z,Kapolsek Balocci Gelar Jum'at Curhat Bersama Warga Pasca Pemilu 2024 untuk Jaga Kondusifitas Kamtibmas,,neutral,14
"Polda Jateng, Imbau Masyarakat Waspadai HOAX Pasca Pungut Suara Pemilu 2024 hTetaps://patrolihukumindonesia.com/polda-jateng-imbau-masyarakat-waspadai-hoax-pasca-pungut-suara-pemilu-2024/",patrolihukumindonesia.com,0,0,0,2024-02-16T02:11:38.000Z,"Polda Jateng, Imbau Masyarakat Waspadai HOAX Pasca Pungut Suara Pemilu 2024",,neutral,11
"Pemilu 2024, jadi panggung kita untuk berkontribusi buat bangsa",Afifaq Talina,0,0,0,2024-02-16T01:45:16.000Z,"Pemilu 2024, jadi panggung kita untuk berkontribusi buat bangsa",,positive,9
"KECURANGAN PEMILU 2024 SDH DILUAR NALAR MANUSIA
#KPUBiangCurangBrutal 
#KPUPencuriSuara",Lutfi Ubadi,0,0,0,2024-02-16T02:06:17.000Z,KECURANGAN PEMILU 2024 SDH DILUAR NALAR MANUSIA,,negative,7
Panglima TNI dan Kapolri Cek Kesiapan Pasukan Pengamanan Pemilu 2024 di Silang Monas,Berita Viral,0,0,0,2024-02-16T02:13:21.000Z,Panglima TNI dan Kapolri Cek Kesiapan Pasukan Pengamanan Pemilu 2024 di Silang Monas,,neutral,13
Perjuangan Petugas Distribusi Balik Logistik Pemilu 2024 dari Pedalaman hTetaps://foto.tempo.co/read/111816/perjuangan-petugas-distribusi-balik-logistik-pemilu-2024-dari-pedalaman?utm_source=Twitter&utm_medium=dlvr.it #TempoFoto,tempo.co,0,1,2,2024-02-16T02:08:35.000Z,Perjuangan Petugas Distribusi Balik Logistik Pemilu 2024 dari Pedalaman,,neutral,9
"Ganjarmemperlihatkan komitmen yang Tidak kenal lelah dalam metikan integritas Pemilu 2024. Ganjar Pranowo, karena kamu berhak mendapatkan yang terbaik 
@SulthanOnyo
 
#GanjarMahfud2024
#KitaAdalahTiga
#Coblos3",Lola Anggraeni,0,0,0,2024-02-16T01:41:19.000Z,"Ganjar memperlihatkan komitmen yang Tidak kenal lelah dalam metikan integritas Pemilu 2024. Ganjar Pranowo, karena kamu berhak mendapatkan yang terbaik",,neutral,19
Kalian yang dulu dukung pak jokowi 2019 tapi sekarang koar2 karena ada indikasi kecurangan pemilu 2024 gmna?,Sigma,0,0,0,2024-02-16T01:49:47.000Z,Kalian yang dulu dukung pak jokowi 2019 tapi sekarang koar2 karena ada indikasi kecurangan pemilu 2024?,gmna?,negative,17
Luar Biasa Pengorbanan Polri dalam Mengawal Pemilu 2024,ndra,0,0,0,2024-02-16T01:44:17.000Z,Luar Biasa Pengorbanan Polri dalam Mengawal Pemilu 2024,,positive,8
"Kekurangan adalah peluang untuk menjadi lebih baik lagi 
@sho_kih9
 RIP Demokrasi Bawaslu #Pemilu2024 KPPS PDIP #DemokrasiSukses
",Chirstina Angel,0,0,0,2024-02-16T02:30:19.000Z,Kekurangan adalah peluang untuk menjadi lebih baik lagi RIP Demokrasi Bawaslu KPPS PDIP,,neutral,13
"Ayo semangat lagi pendukung perubahan
  Nyatanya petinggi n kabinet terus main curang
#AniesMenangAbaikanQuickcount
#AMINmenang
#Pemilu2024",Nan nambeng,0,0,0,2024-02-16T02:29:57.000Z,Ayo semangat lagi pendukung perubahan   Nyatanya petinggi n kabinet terus main curang,,negative,12
"Real Count dari KPU sementara berproses.
Cek hasilnya di sini! #realcount #KPU #Pemilu2024",Herald Indonesia,0,0,0,2024-02-16T02:09:40.000Z,Real Count dari KPU sementara berproses. Cek hasilnya di sini!,,neutral,10
"Bangga menjadi orang Minang.

Real Count
Sumbar
#Pemilu2024",Tata Jafa,0,0,1,2024-02-16T02:10:14.000Z,Bangga menjadi orang Minang.  Real Count Sumbar,,positive,7
Waduh kok gini amat pemilu 2024 ?,Joni Hermanto,0,1,0,2024-02-16T01:32:19.000Z,Waduh kok gini amat pemilu 2024 ?,,negative,7
woilah daus mini lucu banget nemplok di bang komeng wkwkwkk #Pemilu2024,andri setiawan,0,0,0,2024-02-16T02:14:01.000Z,woilah daus mini lucu banget nemplok di bang komeng wkwkwkk,,positive,10
Distribusi balik logistik Pemilu 2024 dari pedalaman Lampung hTetap://dlvr.it/T2plxy,InfoGue.ID,0,0,0,2024-02-16T01:14:04.000Z,Distribusi balik logistik Pemilu 2024 dari pedalaman Lampung,,neutral,8
Silent majority pemilu 2024 ngingetin sama pemilu 2019.,edelyn,0,0,0,2024-02-16T02:05:14.000Z,Silent majority pemilu 2024 ngingetin sama pemilu 2019.,,negative,8
"Lika liku pemilu 2024
Me rn :

""Ga dapet c1, ga boleh pulang """,nyai indri ✧,0,0,0,2024-02-16T02:01:59.000Z,"Lika liku pemilu 2024 Me rn :  ""Ga dapet c1, ga boleh pulang """,,negative,14
"Tidak ada kejahatan yang sempurna !!!
Tuhan akan perlihatkan satu persatu kecurangan mereka.

 RIP DEMOKRASI 

We Love Ganjar Mahfud
                

@PDI_Perjuangan


@ganjarpranowo


@mohmahfudmd


#Pemilu2024",veedrajat,1,2,8,2024-02-16T02:11:47.000Z,Tidak ada kejahatan yang sempurna !!! Tuhan akan perlihatkan satu persatu kecurangan mereka.   RIP DEMOKRASI   We Love Ganjar Mahfud,,negative,19
Detik-Detik Wanita Dipergoki Coblos 30 Surat Suara Pemilu 2024 di TPS Maluku Utara,KOMPAS TV,13,49,87,2024-02-16T01:42:08.000Z,Detik-Detik Wanita Dipergoki Coblos 30 Surat Suara Pemilu 2024 di TPS Maluku Utara,,neutral,13
Pura2 kerja kami muak dan ga percaya pemilu 2024,Maman Doyong,0,0,0,2024-02-16T01:56:58.000Z,Pura2 kerja kami muak dan ga percaya pemilu 2024,,negative,9
PATROLI DALAM RANGKA CIPTA KONDISI ANTISIPASI KERAWANAN PASKA PUNGUT HASIL PEMILU 2024 DI WILAYAH KECAMATAN BLUTO,Polsekbluto,0,0,0,2024-02-16T01:13:57.000Z,PATROLI DALAM RANGKA CIPTA KONDISI ANTISIPASI KERAWANAN PASKA PUNGUT HASIL PEMILU 2024 DI WILAYAH KECAMATAN BLUTO,,neutral,16
"Banyak Suara Gaib untuk Prabowo-Gibran di Data Sirekap KPU, Bawaslu: Acuannya Rekapitulasi Manual  hTetaps://merdekanews.co/read/27139/Banyak-Suara-Gaib-untuk-Prabowo-Gibran-di-Data-Sirekap-KPU-Bawaslu-Acuannya-Rekapitulasi-Manual #Pemilu2024 #Bawaslu #PemiluCurang #Jokowi #Gibran #MK #KPU #Sirekap #RIPDemokrasi",merdekanews.co,0,0,0,2024-02-16T01:58:56.000Z,"Banyak Suara Gaib untuk Prabowo-Gibran di Data Sirekap KPU, Bawaslu: Acuannya Rekapitulasi Manual",,neutral,13
"Hasil Quick Count Pemilu 2024 versi LSI: PDIP Memimpin, Dipepet Golkar dan Gerindra",Bisnis.com,0,0,0,2024-02-16T02:18:33.000Z,"Hasil Quick Count Pemilu 2024 versi LSI: PDIP Memimpin, Dipepet Golkar dan Gerindra",,neutral,13
"Jangan pernah ragu akan integritas Pak Ganjar dalam memperjuangkan kebenaran dan keadilan 
@shireenasun
 RIP Demokrasi Bawaslu #Pemilu2024 KPPS PDIP #DemokrasiSukses
",Atar Saputra,0,0,0,2024-02-16T02:30:14.000Z,Jangan pernah ragu akan integritas Pak Ganjar dalam memperjuangkan kebenaran dan keadilan     RIP Demokrasi Bawaslu   KPPS PDIP,,positive,17
"Kapolda Kalimantan Barat Tinjau Keamanan KoTidak Suara di Pontianak  hTetaps://kabarseputarindonesia.com/2024/02/kapolda-kalimantan-barat-tinjau.html?m=1.@ListyoSigitP , 
@BidhumasKalbar
 , #Pemilu2024 , #polri",Kabarseputarindonesia,0,0,0,2024-02-16T02:12:08.000Z,"Kapolda Kalimantan Barat Tinjau Keamanan KoTidak Suara di Pontianak    ,     ,   ,",,neutral,12
Piala Dunia U-20 Jadi Penyebab Anjloknya Suara Ganjar Pranowo di Pemilu 2024?,Zahir,0,0,0,2024-02-16T01:50:23.000Z,Piala Dunia U-20 Jadi Penyebab Anjloknya Suara Ganjar Pranowo di Pemilu 2024?,,neutral,12
Justru dengan mslah ini mbuat sy pribadi smakin smngat dengan apa yang akan terjadi selanjutnya.,pemantau_pemilu2024,0,0,1,2024-02-16T02:11:08.000Z,Justru dedngan masalah ini membuat saya peribadi samakin semngat dengan apa yang akan terjadi selanjutnya,"dengan, mslah, mbuat, smngat, dengan",positive,15
"SEMENIT PAHAM: Ternyata, Ini Alasan Kenapa Kita Wajib Ikut Kawal Pemilu 2024",Merdeka.com,0,0,0,2024-02-16T02:26:32.000Z,"SEMENIT PAHAM: Ternyata, Ini Alasan Kenapa Kita Wajib Ikut Kawal Pemilu 2024",,neutral,12
"Gunakan Hak Suara dalam Pemilu 2024, Kadivpas Nyoblos di Lapas Narkotika Karang Intan

Selengkapnya:
hTetaps://kalsel.kemenkumham.go.id/berita-kanwil/berita-utama/11561-gunakan-hak-suara-dalam-pemilu-2024-kadivpas-nyoblos-di-lapas-narkotika-karang-intan?csrt=17739396942576164310

#KumhamKalsel
#FaisolAli
#Rtnbarabai
#GtIskandarsyahKanwil
Kemenkumham Kalsel
Faisol Ali",𝗥𝗨𝗧𝗔𝗡 𝗞𝗘𝗟𝗔𝗦 𝗜𝗜𝗕 𝗕𝗔𝗥𝗔𝗕𝗔𝗜,0,10,10,2024-02-16T01:30:28.000Z,"Gunakan Hak Suara dalam Pemilu 2024, Kadivpas Nyoblos di Lapas Narkotika Karang Intan  Selengkapnya:           Kemenkumham Kalsel Faisol Ali",,neutral,18
Sy tidak percaya kpu lagi. Bagaimanapun hasil pemilu 2024 diragukan,Rony Prasetyawan,0,0,0,2024-02-16T01:24:36.000Z,Saya tidak percaya kpu lagi. Bagaimanapun hasil pemilu 2024 diragukan,,negative,10
Ganjar Endus Kejanggalan Pemilu 2024: Split Tiketnya Agak 'Lebar',Pikiran Rakyat,0,0,2,2024-02-16T02:19:06.000Z,Ganjar Endus Kejanggalan Pemilu 2024: Split Tiketnya Agak 'Lebar',,neutral,9
"Masih gak abis pikir dengan hasil Pemilu kemarin, RIP Demokrasi
#Pemilu2024",Orang Bogor,0,0,0,2024-02-16T01:15:06.000Z,"Masih gak abis pikir dengan hasil Pemilu kemarin, RIP Demokrasi",,negative,10
"Pemilu 2024: Koalisi hTetap://CekFakta.com Periksa 56 Hoaks, Publikasi 107 Artikel - hTetap://Beritabali.com hTetaps://beritabali.com/cek-fakta/read/pemilu-2024-koalisi-cekfaktacom-periksa-56-hoaks-publikasi-107-artikel 

#BeritaBali
#Bali
#AllAboutBali
#Berita",IG: @Beritabalimedia,0,0,0,2024-02-16T01:36:07.000Z,"Pemilu 2024: Koalisi  Periksa 56 Hoaks, Publikasi 107 Artikel -",,neutral,10
"Mansur Hidayat Hadiri HUT PDAM Tirta Mulia Pemalang Ke 31, Ini Pesan Pentingnya
hTetaps://suaranegeri.com/2024/02/mansur-hidayat-hadiri-hut-pdam-tirta.html
Real Count  #Pemilu2024 #JatengGayeng",Suara Negeri,0,0,0,2024-02-16T02:08:23.000Z,"Mansur Hidayat Hadiri HUT PDAM Tirta Mulia Pemalang Ke 31, Ini Pesan Pentingnya  Real Count",,neutral,15
"Polda Jateng Imbau Masyarakat Waspadai HOAX Pasca Pungut Suara Pemilu 2024

hTetaps://instagram.com/p/C3ZBAqXRtjN/?igsh=MWd5aHBhMGg3cTBwaQ==",Polsek Tugu,0,0,0,2024-02-16T02:03:59.000Z,Polda Jateng Imbau Masyarakat Waspadai HOAX Pasca Pungut Suara Pemilu 2024,,neutral,11
"Melalui pendalaman bukti&bukti, Ganjarmenciptakan fondasi yang solid untuk mengekspos potensi kecurangan dalam Pemilu 2024 @hcniiiiim 
#GanjarMahfud2024
#KitaAdalahTiga
#Coblos3",EmmaSerenity,0,0,0,2024-02-16T02:00:53.000Z,"Melalui pendalaman bukti, Ganjar menciptakan fondasi yang solid untuk mengekspos potensi kecurangan dalam Pemilu 2024","bukti&bukti,",neutral,14
"Bawaslu Surabaya rekomendasikan coblosan ulang 8 TPS 

hTetaps://lensaindonesia.com/bawaslu-surabaya-rekomendasikan-coblosan-ulang-8-tps/

#bawaslu #bawaslusurabaya #pungutansuaraulang #pemilu2024 #surabaya #beritasurabaya #Lensaindonesiacom",lensaindonesia.com,0,0,0,2024-02-16T02:25:45.000Z,Bawaslu Surabaya rekomendasikan coblosan ulang 8 TPS,,neutral,7
pemilu 2024 udah ada yang menandingi ini belum sih?,Asrof Firullah,0,0,0,2024-02-16T02:25:46.000Z,pemilu 2024 udah ada yang menandingi ini belum sih?,,negative,9
"Babinsa Koramil 03/Tembuku Kawal Pendistribusian Logistik Pemilu 2024 ke PPK Tembuku,

hTetaps://kodim1626.tni-ad.mil.id/babinsa-yangapi-pengawal-pendistribusian-logistik-pemilu-2024-ke-ppk-tembuku/

#tniprima #profesional #responsif #integratif #modern #adaptif #TNIADMengabdidanMembangunbersamaRakyat #bersamarakyattnikuat #prajaraksakapedulirakyat",KODIM 1626/BANGLI,0,0,0,2024-02-16T01:42:52.000Z,"Babinsa Koramil 03/Tembuku Kawal Pendistribusian Logistik Pemilu 2024 ke PPK Tembuku,",,neutral,11
Mereka kelelahan saat menjalankan proses pungut hitung Pemilu 2024,iNews,0,0,0,2024-02-16T02:11:00.000Z,Mereka kelelahan saat menjalankan proses pungut hitung Pemilu 2024,,negative,9
"Tentukan Pilihan
Hormati Setiap Perbedaan
Kita wujudkan Pemilu 2024 yang bermartabat, aman, sejuk, dan damai.",PolsekMuaraBengkal,0,0,0,2024-02-16T02:02:13.000Z,"Tentukan Pilihan Hormati Setiap Perbedaan Kita wujudkan Pemilu 2024 yang bermartabat, aman, sejuk, dan damai.",,positive,15
